,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1975,-0.39,0.1,-0.76,-0.37,1.22,0.15,-1.08,0.29,0.73,-1.36,-0.06,-0.31,-0.26
1975,0.21,0.31,0.22,-0.06,-0.26,0.92,0.0,1.8,0.82,-0.67,-0.03,0.67,0.49
1975,-0.39,-0.02,-0.04,0.89,0.58,0.51,-0.21,0.75,1.27,-0.22,0.39,0.26,0.33
1975,-0.61,-0.76,-0.82,0.82,0.45,-0.03,-1.18,0.78,1.64,-0.25,-0.1,-0.41,-0.34
1975,-0.06,0.5,-1.36,0.48,0.43,0.63,-1.31,1.52,1.18,-1.24,0.12,0.68,0.45
1975,-0.69,0.46,-1.56,-0.24,0.72,0.72,-1.02,1.43,1.08,-0.94,0.24,0.39,0.35
1975,0.11,0.46,-0.54,-0.71,-0.28,1.02,0.21,2.1,0.92,-0.64,0.0,1.05,0.64
1975,-0.14,0.21,-1.11,-0.37,-0.16,0.96,-0.37,1.6,0.92,-1.49,-0.16,0.36,0.19
1975,-0.73,-0.04,-2.13,-0.02,-0.23,0.2,-2.22,1.52,1.2,-0.87,-1.15,-0.34,-0.85
1975,-0.16,1.16,1.08,0.44,0.04,0.71,1.08,0.27,0.05,-1.59,0.83,0.64,0.93
1975,-0.18,0.84,0.15,0.57,0.29,0.16,0.78,0.28,0.64,-1.47,0.67,0.35,0.55
1975,-0.63,0.95,-0.9,-0.96,0.59,-0.11,-0.83,1.18,0.34,-2.01,-0.24,0.15,0.02
1976,0.01,0.31,-0.7,-1.19,0.8,-0.02,-0.69,-0.76,-0.25,-1.45,-0.1,-0.56,-0.46
1976,0.15,-0.65,0.0,-0.49,0.6,-0.17,0.01,-1.25,-1.42,-0.54,0.28,-0.74,-0.47
1976,-0.17,-0.19,-0.73,1.05,1.18,-0.13,-0.62,-0.38,0.55,-1.05,0.54,-0.47,-0.14
1976,0.46,-0.4,0.16,0.12,1.99,-0.15,0.25,0.25,0.67,-0.36,1.73,-0.03,0.65
1976,1.22,-1.25,-0.22,-0.36,1.05,0.3,1.49,0.38,-0.36,0.21,1.33,-0.21,0.61
1976,0.22,-0.73,-0.67,-0.03,0.8,-0.5,0.2,1.01,0.9,0.29,0.66,0.17,0.42
1976,1.2,0.17,0.8,0.81,2.03,-0.19,2.41,-0.1,0.67,0.85,2.53,0.96,1.91
1976,0.51,-0.21,1.64,0.18,1.79,-0.44,2.71,-0.04,-0.33,-0.53,2.8,0.22,1.48
1976,0.6,-0.26,0.71,1.15,1.45,-0.09,1.8,-0.93,-1.18,0.51,1.97,-0.03,1.03
1976,-0.24,-0.08,-0.31,1.19,1.21,0.01,-0.09,-0.98,-1.16,0.56,1.02,-0.68,-0.18
1976,0.23,-1.79,-1.16,1.67,-0.12,0.45,-1.23,-1.49,-0.96,0.75,-0.62,-1.73,-1.53
1976,0.42,-1.91,-0.69,0.28,-0.57,-0.32,-0.25,-0.37,-0.89,1.11,-0.52,-1.03,-0.96
1977,0.02,-1.98,-1.15,-0.86,0.07,0.55,-1.11,-0.91,-0.03,0.25,-0.69,-1.41,-1.31
1977,1.4,-1.82,-0.69,0.89,-0.5,-0.71,0.0,-1.46,-0.69,-0.68,-0.31,-0.91,-0.76
1977,0.32,-0.84,-1.44,1.22,0.83,0.51,-0.68,-0.26,0.28,-1.59,0.35,-0.84,-0.47
