,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
198,2006.12.11,12/11/2006,2006,Unprovoked,NEW ZEALAND,M,10.0,December,2006 December,False
199,2006.09.03.b,9/3/2006,2006,Unprovoked,BRAZIL,M,20.0,September,2006 September,True
200,2006.08.13,8/13/2006,2006,Unprovoked,SOUTH AFRICA,M,24.0,August,2006 August,False
201,2006.06.17,6/17/2006,2006,Unprovoked,USA,M,43.0,June,2006 June,False
202,2005.06.13,6/13/2005,2005,Unprovoked,SOUTH KOREA,F,38.0,June,2005 June,False
203,2005.06.05,6/5/2005,2005,,USA,M,17.0,June,2005 June,False
204,2005.05.25,5/25/2005,2005,Unprovoked,SOUTH AFRICA,M,32.0,May,2005 May,False
205,2004.11.11.b,11/11/2004,2004,Unprovoked,USA,,38.0,November,2004 November,False
206,2003.09.13.b,9/13/2003,2003,Unprovoked,USA,M,18.0,September,2003 September,False
207,2003.05.10,5/10/2003,2003,Unprovoked,USA,M,20.0,May,2003 May,False
208,2003.04.26,4/26/2003,2003,Provoked,BRAZIL,M,,April,2003 April,False
209,2003.04.23.a,4/23/2003,2003,Unprovoked,BRAZIL,M,7.0,April,2003 April,False
210,2003.02.11,2/11/2003,2003,Unprovoked,AUSTRALIA,M,24.0,February,2003 February,False
211,2001.11.23,11/23/2001,2001,Unprovoked,AUSTRALIA,M,49.0,November,2001 November,False
212,2001.04.02.a,4/2/2001,2001,Unprovoked,AUSTRALIA,M,40.0,April,2001 April,False
213,2000.07.02.a,7/2/2000,2000,Unprovoked,USA,F,19.0,July,2000 July,False
214,1999.06.17,6/17/1999,1999,Unprovoked,USA,M,21.0,June,1999 June,False
215,1998.10.24,10/24/1998,1998,Unprovoked,USA,F,17.0,October,1998 October,False
216,1998.06.22,6/22/1998,1998,Unprovoked,SOUTH AFRICA,M,20.0,June,1998 June,True
217,1997.12.28.b,12/28/1997,1997,Unprovoked,SOUTH AFRICA,M,39.0,December,1997 December,True
218,1997.08.27,8/27/1997,1997,Unprovoked,USA,M,22.0,August,1997 August,False
219,1997.02.28.b,2/28/1997,1997,Unprovoked,AUSTRALIA,F,21.0,February,1997 February,False
220,1996.02.10.a,2/9/1996,1996,Unprovoked,NEW GUINEA,,14.0,February,1996 February,True
221,1995.07.00,,1995,Provoked,USA,M,,,1995 nan,False
222,1995.06.23,6/23/1995,1995,Unprovoked,USA,M,13.0,June,1995 June,False
223,1995.06.17.b,6/17/1995,1995,Unprovoked,USA,M,,June,1995 June,False
224,1995.05.18,5/18/1995,1995,Unprovoked,AUSTRALIA,,,May,1995 May,False
225,1994.09.26,9/26/1994,1994,Unprovoked,USA,F,30.0,September,1994 September,False
226,1994.05.24,5/24/1994,1994,Unprovoked,USA,F,36.0,May,1994 May,False
227,1994.01.03,1/3/1994,1994,Unprovoked,SOUTH AFRICA,M,33.0,January,1994 January,False
228,1993.12.00,12/1/1993,1993,Unprovoked,USA,M,,December,1993 December,True
229,1993.10.26,10/26/1993,1993,Unprovoked,USA,F,26.0,October,1993 October,False
230,1993.06.29,6/29/1993,1993,Unprovoked,REUNION,M,16.0,June,1993 June,False
231,1991.12.04,12/4/1991,1991,Unprovoked,USA,M,25.0,December,1991 December,False
232,1991.07.00,7/1/1991,1991,Unprovoked,USA,M,13.0,July,1991 July,False
233,1991.02.12,2/12/1991,1991,Unprovoked,SOUTH AFRICA,M,20.0,February,1991 February,False
234,1991.01.00,1/1/1991,1991,Unprovoked,AUSTRALIA,M,22.0,January,1991 January,False
235,1989.12.19,12/19/1989,1989,Provoked,USA,M,,December,1989 December,False
236,1989.06.29,6/29/1989,1989,Unprovoked,USA,M,,June,1989 June,False
237,1989.02.02,2/2/1989,1989,Unprovoked,ITALY,M,47.0,February,1989 February,True
238,1988.12.15,12/15/1988,1988,Unprovoked,CHILE,M,,December,1988 December,True
239,1988.04.14.b,4/14/1988,1988,Unprovoked,USA,M,14.0,April,1988 April,False
240,1987.04.18,4/18/1987,1987,Unprovoked,USA,F,16.0,April,1987 April,False
241,1986.02.01,2/1/1986,1986,Unprovoked,AUSTRALIA,M,29.0,February,1986 February,False
242,1986.01.12,1/12/1986,1986,Unprovoked,USA,M,22.0,January,1986 January,False
