,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
166,2013.07.11,7/11/2013,2013,Unprovoked,USA,F,63.0,July,2013 July,False,1.5,6
167,2013.07.31,7/31/2013,2013,Unprovoked,USA,F,56.0,July,2013 July,False,1.5,6
168,2013.07.29.a,7/29/2013,2013,Unprovoked,USA,M,18.0,July,2013 July,False,1.5,6
169,2013.07.17.R,7/17/2013,2013,Unprovoked,USA,M,15.0,July,2013 July,False,1.5,6
170,2013.06.18,6/18/2013,2013,Unprovoked,USA,M,28.0,June,2013 June,False,1.17,8
171,2013.06.17,6/17/2013,2013,Unprovoked,USA,M,15.0,June,2013 June,False,1.17,8
172,2013.06.25.a,6/25/2013,2013,Unprovoked,USA,M,14.0,June,2013 June,False,1.17,8
173,2013.06.15,6/15/2013,2013,Unprovoked,USA,F,,June,2013 June,False,1.17,8
174,2013.06.25.c,6/25/2013,2013,,USA,M,,June,2013 June,False,1.17,8
175,2013.06.06.b,6/6/2013,2013,Provoked,USA,M,58.0,June,2013 June,False,1.17,8
176,2013.06.25.b,6/25/2013,2013,Unprovoked,USA,M,,June,2013 June,False,1.17,8
177,2013.06.14.R,6/14/2013,2013,Unprovoked,USA,F,10.0,June,2013 June,False,1.17,8
178,2013.05.08.b,5/8/2013,2013,,USA,M,42.0,May,2013 May,False,0.37,4
179,2013.05.27.b,5/27/2013,2013,Unprovoked,USA,M,32.0,May,2013 May,False,0.37,4
180,2013.05.27.a,5/27/2013,2013,Unprovoked,USA,M,11.0,May,2013 May,False,0.37,4
181,2013.05.04.a,5/4/2013,2013,Unprovoked,USA,M,16.0,May,2013 May,False,0.37,4
182,2012.10.27,10/27/2012,2012,Unprovoked,USA,F,51.0,October,2012 October,False,1.33,8
183,2012.10.18.a,10/18/2012,2012,Unprovoked,USA,M,55.0,October,2012 October,False,1.33,8
184,2012.10.16,10/16/2012,2012,,USA,M,,October,2012 October,False,1.33,8
